x,y
0,22
1,24.2
2,26.4
3,28.6
4,30.8
5,33
6,35.2
7,37.4
8,39.6
9,41.8
10,44
11,46.2
12,48.4
13,50.6
14,52.8
15,55
16,57.2
17,59.4
18,61.6
19,63.8
20,66
21,68.2
22,70.4
23,72.6
24,74.8
25,77
26,79.2
27,81.4
28,83.6
29,85.8
30,88
31,90.2
32,92.4
33,94.6
34,96.8
35,99
36,101.2
37,103.4
38,105.6
39,107.8
40,110
41,112.2
42,114.4
43,116.6
44,118.8
45,121
46,123.2
47,125.4
48,127.6
49,129.8
50,132
51,134.2
52,136.4
53,138.6
54,140.8
55,143
56,145.2
57,147.4
58,149.6
59,151.8
60,154
61,156.2
62,158.4
63,160.6
64,162.8
65,165
66,167.2
67,169.4
68,171.6
69,173.8
70,176
71,178.2
72,180.4
73,182.6
74,184.8
75,187
76,189.2
77,191.4
78,193.6
79,195.8
80,198
81,200.2
82,202.4
83,204.6
84,206.8
85,209
86,211.2
87,213.4
88,215.6
89,217.8
90,220
91,222.2
92,224.4
93,226.6
94,228.8
95,231
96,233.2
97,235.4
98,237.6
99,239.8
