x,y
0,21
1,23
2,25
3,27
4,29
5,31
6,33
7,35
8,37
9,39
10,41
11,43
12,45
13,47
14,49
15,51
16,53
17,55
18,57
19,59
20,61
21,63
22,65
23,67
24,69
25,71
26,73
27,75
28,77
29,79
30,81
31,83
32,85
33,87
34,89
35,91
36,93
37,95
38,97
39,99
40,101
41,103
42,105
43,107
44,109
45,111
46,113
47,115
48,117
49,119
50,121
51,123
52,125
53,127
54,129
55,131
56,133
57,135
58,137
59,139
60,141
61,143
62,145
63,147
64,149
65,151
66,153
67,155
68,157
69,159
70,161
71,163
72,165
73,167
74,169
75,171
76,173
77,175
78,177
79,179
80,181
81,183
82,185
83,187
84,189
85,191
86,193
87,195
88,197
89,199
90,201
91,203
92,205
93,207
94,209
95,211
96,213
97,215
98,217
99,219
